kepid,tce_plnt_num,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err,av_training_set
9772075,2,,0.76904,8.92E-06,131.514,0.00223114,0.3,6.932,2.519,1.113,23.12,3.496,10.36,1.261,0.4938,3630,663,,,7256,296,3.87,0.22,2.567,0.915,AFP
5479802,1,,13.2627,4.66E-05,136.285,0.00306892,0.5187,2.88,3.929,0.5854,968.8,33.46,29.25,2.995,1.297,767,151,,,5973,209,4.51,0.28,0.935,0.362,AFP
8891278,2,,12.7186,0.000601077,135.051,0.038835,0.996,0.01172,18.17,1.224,170.3,14.73,11.93,3.739,1.267,1040,240,,,6120,215,4.04,0.32,1.596,0.725,AFP
12302104,1,,678.232,0.00432904,220.428,0.00572584,0.8613,0.02509,11.27,0.2989,1091,191.4,6.145,63.69,5.746,626,119,,,5092,214,2.45,0.03,16.63,6.162,UNK
5359678,1,,3.11531,1.91E-07,133.124,4.76E-05,0.9008,0.0797,5.009,0.01057,132700,82.83,6904,62.09,7.016,1460,332,,,6428,249,4.38,0.27,1.156,0.519,UNK
11177741,1,,0.677396,1.42E-05,131.988,0.00448281,0.5,6.022,2.367,2.559,55.76,11.11,6.822,0.4182,0.4916,1320,72,,,4513,133,4.72,0.05,0.555,0.051,UNK
3348288,3,,0.883299,1.17E-05,132.029,0.00331931,0.2691,9.443,5.67,11.66,13.25,1.718,10.27,0.5815,0.2845,2660,791,,,6774,205,4.17,0.33,1.574,0.93,NTP
10471780,1,,582.287,0.00485749,426.381,0.00603242,0.8867,0.4706,3.379,1.247,435.8,76.57,7.106,79.48,45.63,840,146,,,4233,122,1.61,0.27,31.05,10.63,NTP
11564882,1,,0.54281,8.19E-06,131.986,0.000868501,0.4489,1.982,1.956,0.5073,273,29.04,12.27,2.592,0.5126,3120,1160,,,6950,323,4.23,0.41,1.521,1.121,AFP
10228942,2,,21.0261,0.000173137,148.749,0.0390317,0.002056,1330,13.36,1.814,176.4,17.47,17.62,2.48,1.234,999,202,,,6632,223,3.98,0.29,1.855,0.739,AFP
7373451,1,,21.0225,4.03E-05,144.61,0.00159964,0.4822,1.639,4.138,0.3825,1819,33.14,54.93,3.239,0.9446,523,22.2,,,5066,104,4.58,0.05,0.754,0.056,PC
10420279,3,,90.868,0,173.155,0,0.1,0,15,0,16860,0,-1,13.87,0,420,0,,,5731,165,4.36,0.24,1.08,0.405,AFP
8323096,3,,1.02621,8.64E-06,131.98,0.00259033,0.7029,1.28,3.383,2.024,47.86,4.495,13.98,1.823,0.5851,3000,643,,,6516,224,3.82,0.35,2.459,1.042,UNK
6195556,3,,0.922712,1.71E-05,131.531,0.0107284,0.9572,0.02022,2.389,0.3819,199.6,19.87,12.11,3.704,0.2368,3080,928,,,7135,317,4.01,0.34,2.12,1.262,UNK
7541502,1,,44.8273,3.42E-06,173.41,5.83E-05,0.9982,0.01784,6.949,0.006577,240300,215.7,12180,274.1,5.094,780,182,,,5160,193,3.57,0.3,3.279,1.51,AFP
10419211,2,,11.5215,4.17E-05,142.757,0.0028634,0.9894,0.06947,3.616,0.2189,875.9,36.46,29.44,4.291,3.866,755,146,,,5804,163,4.55,0.27,0.85,0.326,AFP
8165946,1,,6.422,1.85E-05,134.581,0.00217489,0.4735,2.446,2.674,0.1097,161.9,7.108,23.77,1.292,0.3803,1040,229,,,6201,191,4.47,0.31,0.989,0.433,PC
8292840,2,,10.4957,1.58E-05,141.307,0.00115309,0.1012,9.757,4.772,0.06354,114.4,2.152,54.65,1.456,0.2874,1020,17.8,,,6239,94,4.25,0.01,1.358,0.024,PC
7597771,2,,1.59667,8.63E-05,132.449,0.0609892,0.4275,21.81,8.257,51.04,39.91,15.15,3.149,0.4728,1.447,1260,130,,,5125,199,4.55,0.12,0.748,0.143,AFP
9543302,1,,13.0365,8.79E-05,138.231,0.00540307,0.04157,131.4,3.377,0.3232,134.5,14.21,9.685,1.945,2.144,1050,233,,,6084,193,4.01,0.33,1.677,0.738,AFP
7821689,1,,19.0633,0.000714812,147.2,0.0308703,0.986,0.01903,26.3,0.8504,379,19.7,22.81,2.924,0.9855,663,137,,,5574,197,4.4,0.26,0.958,0.391,NTP
6531496,3,,0.512863,1.66E-05,132.029,0.00126039,0.1625,24.89,1.097,0.224,309.9,56.98,14.79,1.58,1.436,2190,455,,,5853,198,4.53,0.29,0.895,0.368,AFP
4833421,2,,5.76615,9.64E-06,134.019,0.0012354,0.8616,0.1279,3.968,0.1862,355.6,6.792,54.13,2.568,0.2147,1160,91.2,,,6038,121,4.29,0.13,1.19,0.181,PC
11189127,1,,2.67194,7.06E-08,132.446,1.28E-05,0.9767,0.008079,1.892,0.002105,15680,11.66,1874,21.67,0.621,1460,250,,,6116,203,4.33,0.23,1.055,0.355,AFP
3650049,1,,298.276,0.00870081,420.943,0.015229,0.9717,0.06293,13.08,1.239,1310,112.8,16.57,4.072,2.483,232,49.2,,,5313,185,4.52,0.44,0.768,0.321,UNK
9844791,2,,1.74876,2.67E-05,132.174,0.00767055,0.9182,0.006135,5.685,0.1708,164.8,11.19,12.89,2.482,0.08462,2240,715,,,7066,260,4.15,0.35,1.641,1.04,NTP
10736489,1,,6.84312,7.15E-06,137.035,0.000722008,0.4709,1.334,2.805,0.1047,658,20.81,34.43,2.137,0.4748,805,124,,,5225,207,4.55,0.19,0.827,0.247,UNK
4902030,1,,0.878804,0,132.264,0,0.1,0,1.5,0,406000,0,-1,40.21,0,1350,0,,,4524,171,4.57,0.04,0.737,0.057,UNK
7344999,1,,0.706242,1.10E-05,132.019,0.00265684,0.5069,2.141,2.338,0.8242,23.96,3.442,9.028,0.8157,0.2076,3000,1190,,,7176,299,4.21,0.43,1.604,1.261,AFP
8953296,1,,0.784396,4.16E-06,132.202,0.0016699,1,0.05732,2.175,0.4438,2062,768.7,79.68,12.18,4.098,2650,650,,,6576,253,4.17,0.27,1.455,0.705,NTP
9717861,3,,1.37538,2.59E-05,132.438,0.0132978,0.9853,0.004583,2.502,0.1454,158.3,15.52,15.68,4.147,0.3357,3610,783,,,9187,413,3.99,0.24,2.542,1.079,UNK
10490558,1,,4.0425,3.34E-05,133.768,0.00476452,0.2994,5.219,5.808,0.3469,22.85,3.27,7.3,0.9269,0.2808,1800,403,,,6969,238,4.02,0.25,1.903,0.841,AFP
4951877,1,,24.7963,0.000114083,145.528,0.0036791,0.09436,27.41,8.337,0.9209,654.5,18.78,35.43,2.283,1.325,598,126,,,5766,160,4.5,0.28,0.9,0.375,PC
5094944,1,,415.608,0.0106535,445.816,0.0149058,0.7393,1.404,11.88,0.9993,65.46,26.17,2.697,1.275,0.6526,310,92,,,6279,245,4.2,0.32,1.457,0.858,UNK
11122894,3,,38.8688,0.000133667,132.437,0.00286258,0.9454,0.005532,7.729,0.1662,971.2,19.52,58.18,3.54,0.05971,509,47.9,,,5618,112,4.46,0.14,0.897,0.165,PC
7840044,1,,13.5421,6.62E-05,144.013,0.00396915,0.01425,275.3,3.398,0.3332,258.8,13.68,20.07,1.624,1.359,794,145,,,5891,171,4.39,0.25,1.015,0.365,AFP
11289905,2,,0.685071,1.17E-05,131.963,0.0029682,0.3,9.495,1.979,0.9159,26.43,4.199,9.343,0.8819,0.4653,3190,967,,,7334,336,4.16,0.35,1.677,1.006,NTP
8329728,2,,9.84668,9.28E-05,134.076,0.00753027,0.6961,0.4419,15.34,0.5953,33.8,1.942,17.4,1.711,0.1886,1720,282,,,7875,311,3.84,0.25,2.752,0.874,AFP
10814863,2,,1.25737,3.20E-05,131.596,0.0133975,0.001288,2044,9.662,25.05,46.27,13.61,8.571,2.147,0.9707,3800,687,,,8283,338,3.76,0.3,3.123,1.1,UNK
8559644,1,,224.78,0.000261342,142.099,0.000956439,0.4477,0.1124,10.91,0.09608,3513,24.52,150.2,7.428,0.1126,334,34,,,5873,137,4.29,0.14,1.235,0.245,PC
7461382,2,,1.19191,9.20E-06,131.726,0.00164773,0.09751,22.96,3.74,1.281,112.5,13.88,10.68,1.586,0.6495,2330,599,,,6642,237,4.18,0.28,1.483,0.755,NTP
5023948,1,,1.82469,5.09E-08,132.866,1.76E-05,0.7012,0.004397,4.088,0.001157,181400,88.88,5162,47.48,0.2308,1680,330,,,6413,197,4.37,0.27,0.941,0.365,AFP
4458984,1,,0.529831,5.67E-05,131.761,0.0162075,0.3749,33.57,1.966,7.809,13.8,9.67,1.987,0.2231,0.9141,1570,83.2,,,4765,141,4.65,0.06,0.605,0.053,AFP
7815744,1,,14.2044,6.40E-05,142.733,0.00364378,0.2537,17,3.96,0.885,795.5,35.07,25.06,1.934,2.094,610,64,,,5362,214,4.63,0.11,0.69,0.134,PC
11560447,1,,0.527681,1.34E-06,131.808,0.000152207,0.000408,395,1.516,0.02836,16920,348.6,236.5,7.673,0.3049,1670,77.4,,,5105,152,4.67,0.05,0.593,0.042,AFP
10195933,1,,5.68563,9.52E-05,132.78,0.0135595,0.7178,0.5665,18.33,4.602,168.5,10.99,15.26,1.101,0.2187,884,169,,,5496,197,4.58,0.23,0.79,0.297,AFP
3935200,1,,0.500557,1.04E-05,131.673,0.00335272,0.0337,202.4,2.366,6.056,34.39,5.097,9.37,0.456,0.8228,1920,298,,,5229,216,4.54,0.19,0.796,0.238,UNK
6387185,2,,0.635343,8.49E-06,131.743,0.0021197,0.6929,2.541,2.017,1.873,162.9,18.06,11.43,2.256,1.484,2860,652,,,6072,191,4.01,0.33,1.654,0.748,AFP
8494142,1,,42.8825,8.23E-05,160.765,0.00162305,0.7505,0.1125,9.912,0.1674,404.4,5.368,72.83,4.039,0.1613,719,15.8,,,6144,106,4.02,0.01,1.85,0.05,PC
7448023,1,,0.566788,5.75E-05,131.812,0.012023,0.8975,1.535,1.294,3.766,16.43,11.94,2.13,0.3506,0.6359,1590,88.5,,,4665,156,4.58,0.04,0.704,0.063,NTP
4770617,1,,5.18561,1.87E-05,132.323,0.0026316,0.6983,1.527,4.069,0.3016,252.8,10.52,25.09,1.737,0.7157,1120,210,,,6163,199,4.46,0.26,1.022,0.378,PC
